Food Id,Food Name,Carbs,Protein,,,,,
3,Besan Cheela,15.49154823,5.791561466,,,,,
7,Vada,24.06604519,9.655166684,,,,,
9,Porridge/ Dalia (salted)   ',14.16658483,2.328624511,,,,,
10,Dosa (Plain),27.05357143,4.455357143,,,,,
11,Masala Dosa,22.59076482,3.284325054,,,,,
12,Onion Dosa,20.07599965,3.22950723,,,,,
13,Idli (Plain),30.16426083,4.967645595,,,,,
15,Onion Pakori,18.3993808,4.349226006,,,,,
17,Samosa,28.00717009,3.589222549,,,,,
19,Poori,46.23712628,8.061516254,,,,,
20,Upma sevian,22.42369427,2.679745223,,,,,
21,Parantha,46.2829582,8.495176849,,,,,
22,Roti,49.57142857,8.642857143,,,,,
23,Upma,18.68005227,3.364011414,,,,,
24,Bhatura,32.93776824,5.543991416,,,,,
26,Potato Parantha,27.77431298,4.081159677,,,,,
27,Bengal Gram Dal,12.9178926,4.426825475,,,,,
28,Black Gram Dal,15.03510393,5.931408776,,,,,
29,Plain cooked rice,21.53186646,2.105462822,,,,,
30,Green Gram dal,15.27314255,6.090175363,,,,,
31,Lentil Dhal,13.13020528,5.491663176,,,,,
32,Red Gram dal,12.49139354,4.801753268,,,,,
34,Spinach with dal,10.29253117,4.396399734,,,,,
35,Pulao,21.26565622,1.796737157,,,,,
38,Sweet Porridge,19.03225117,3.546134131,,,,,
48,Dum Chicken,3.116762673,15.43329493,,,,,
51,Potato curry,10.30684533,1.174104135,,,,,
52,Coconut chutney,5.907664831,2.120136925,,,,,
53,Peas and Paneer,7.345728643,4.122230199,,,,,
54,Coriander Chutney,5.089676081,2.185662997,,,,,
56,Groundnut Chutney,11.19435372,11.54120917,,,,,
57,Mint Chutney,8.414507772,2.041450777,,,,,
59,Tamarind chutney,22.5568147,0.4468606432,,,,,
60,Tomato chutney,6.608235437,1.489342376,,,,,
73,Caramelised custard,25.17208541,3.937776891,,,,,
76,Sheera,36.55624046,3.132881679,,,,,
78,Cabbage subzi,4.705223881,1.922761194,,,,,
81,Punnpoli,42.66842584,5.299545041,,,,,
88,Sweet Biscuits,58.10268456,6.82147651,,,,,
92,Plain Cake,45.1928945,5.891598454,,,,,
94,Gulab Jamun,36.75531545,4.221030291,,,,,
111,Khicheri plain,16.7807676,3.276827349,,,,,
116,Vegetable Biryani,16.32515483,1.969674968,,,,,
130,Fish Jhol,2.409163072,9.701546004,,,,,
138,Puran Poli,48.36709924,7.652290076,,,,,
152,Shakarpara,50.34059799,5.58322016,,,,,
176,Chicken Korma,2.903617485,15.91902529,,,,,
179,Kachori,35.14026981,7.973936257,,,,,
186,Karahi Chicken With Fresh Fenugreek,3.790651304,14.92898996,,,,,
188,Aromatic Chicken Curry,3.083538437,11.90131889,,,,,
189,Traditional Chicken Curry,2.379683851,15.40091312,,,,,
193,Chicken Biryani,13.18294487,8.642562707,,,,,
212,Tea with Milk and Sugar,4.593277311,1.7,,,,,
213,Coffee with Milk,without sugar,4.085025818,2.750774527,,,,
217,Chaach,0.9203370787,0.9286195827,,,,,
223,Filter Coffee with milk,3.879558011,1.01878453,,,,,
227,Lemonade,4.161976664,0.05250514756,,,,,
229,Ice Tea,9.673563218,0.02413793103,,,,,
237,Madras Beef Curry,5.78795988,13.54122745,,,,,
240,Beef Biryani,17.31126033,5.834144198,,,,,
248,Sabz Paneer,5.895177241,5.083949608,,,,,
249,Mixed Vegetable,5.6132424,1.294591639,,,,,
254,Tomato Soup,2.536063408,0.5548877147,,,,,
256,Spinach Soup,3.909649997,0.5142591486,,,,,
258,Mixed Vegetable Soup,5.781382227,1.004045881,,,,,
274,Tossed Green Salad,3.447694726,1.86149624,,,,,
297,Aloo Raita,6.423374384,2.186650246,,,,,
303,Sev,33.28259587,12.84205128,,,,,
307,Palak Raita,2.831283422,2.70276929,,,,,
310,Aam ka Achaar,9.103822839,1.539595667,,,,,
330,Suji Halwa,28.74951605,1.656161005,,,,,
339,Vegetable Sevian,16.71579457,2.309858286,,,,,
347,Baigan Bharta,5.226701743,1.351168181,,,,,
351,Punjabi chole,13.50510941,3.782408776,,,,,
354,Lobhia Taridar,10.66464536,4.439732292,,,,,
355,Tomato Rice,16.16460417,1.857463323,,,,,
375,Boiled Egg,1.118881119,12.56743257,,,,,
377,Fried Egg,1.89181392,12.01135954,,,,,
378,Scrambled Egg,2.369475358,11.1263911,,,,,
382,Pancakes,28.50737626,4.987506007,,,,,
383,Curd Rice,17.11592561,2.978445621,,,,,
406,Apple Crumb Slice,37.05223883,3.469513997,,,,,
434,Gobhi Parantha,31.39472192,6.078480614,,,,,
439,Shahi Paneer,6.536558572,6.044343509,,,,,
440,Churma,38.73173739,6.111159194,,,,,
441,Missi Roti,28.35662517,6.710250479,,,,,
445,Chilli Paneer,10.32569899,6.867875993,,,,,
455,French Fries,38.44,3.76,,,,,
465,Dum Aloo,8.769584006,1.521843727,,,,,
466,Aloo Gobhi,12.36881792,1.68199917,,,,,
484,Rice,puffed,73.6,7.5,,,,
494,Wheat,vermiceli,78.3,8.7,,,,
495,Brown bread,47.06,8.82,,,,,
496,White bread,49.2,9.43,,,,,
497,Bengal gram,whole (Desi),60.9,17.1,,,,
512,Peas,green,15.9,7.2,,,,
514,Peas,roasted,58.8,22.9,,,,
515,Rajma,60.6,22.9,,,,,
540,Cabbage,4.6,1.8,,,,,
563,Lettuce,2.5,2.1,,,,,
584,Spinach,2.9,2,,,,,
592,Carrot,10.6,0.9,,,,,
599,Potato,22.6,1.6,,,,,
623,Cucumber,3.63,0.65,,,,,
630,French beans,4.5,1.7,,,,,
639,Kovai,2.01,1.39,,,,,
664,Almond,21.55,21.15,,,,,
668,Cashewnut,22.3,21.2,,,,,
673,Coconut milk,6,2.291666667,,,,,
677,Gingelly seeds,25,18.3,,,,,
678,Groundnut,26.1,25.3,,,,,
